[2026-06-15 15:40:23] Start workflow: 工作流名称
[2026-06-15 15:40:23] Step 1: click
[2026-06-15 15:40:23] 正在执行：电脑隐藏框 (模式: coordinate)
[2026-06-15 15:40:25] Step 2: click
[2026-06-15 15:40:25] 正在执行：微信图标 (模式: coordinate)
[2026-06-15 15:40:27] Step 3: click
[2026-06-15 15:40:27] 正在执行：搜索框 (模式: coordinate)
[2026-06-15 15:40:29] Step 4: input_text
[2026-06-15 15:40:30] Step 5: wait
[2026-06-15 15:40:30] 等待 1 秒
[2026-06-15 15:40:31] Step 6: click
[2026-06-15 15:40:31] 正在执行：搜索人物图标 (模式: coordinate)
[2026-06-15 15:40:33] Step 7: wait
[2026-06-15 15:40:33] 等待 1 秒
[2026-06-15 15:40:34] Step 8: click
[2026-06-15 15:40:34] 正在执行：点击输入框 (模式: coordinate)
[2026-06-15 15:40:36] Step 9: input_text
[2026-06-15 15:40:37] Step 10: click
[2026-06-15 15:40:37] 正在执行：发送按钮 (模式: coordinate)
[2026-06-15 15:40:39] Workflow finished
